timestamp,# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
1389065284037,http-in,FRONTEND,,,1,198,3000,80041,10013685,13668168,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,2,0,1405,,,,0,79988,0,52,0,0,,2,1410,80041,,,
1389065284037,backend_vagrantx_cloud_appcelerator_com,1,0,0,0,174,,79976,9992125,13589290,,0,,0,0,39,0,UP,1,1,0,0,0,2483,0,,1,2,1,,79937,,2,0,,1410,L4OK,,0,0,79937,0,0,0,0,0,,,,101,0,
1389065284037,backend_vagrantx_cloud_appcelerator_com,BACKEND,0,0,0,174,0,79937,9992125,13589290,0,0,,0,0,39,0,UP,1,1,0,,0,2483,0,,1,2,0,,79937,,1,0,,1410,,,,0,79937,0,0,0,0,,,,,101,0,
1389065285139,http-in,FRONTEND,,,1,198,3000,80043,10013970,13669367,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,1,0,1405,,,,0,79989,0,53,0,0,,1,1410,80043,,,
1389065285139,backend_vagrantx_cloud_appcelerator_com,1,0,0,0,174,,79976,9992125,13589290,,0,,0,0,39,0,UP,1,1,0,0,0,2485,0,,1,2,1,,79937,,2,0,,1410,L4OK,,0,0,79937,0,0,0,0,0,,,,101,0,
1389065285139,backend_vagrantx_cloud_appcelerator_com,BACKEND,0,0,0,174,0,79937,9992125,13589290,0,0,,0,0,39,0,UP,1,1,0,,0,2485,0,,1,2,0,,79937,,1,0,,1410,,,,0,79937,0,0,0,0,,,,,101,0,
1389065286021,http-in,FRONTEND,,,1,198,3000,80045,10014255,13670566,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,3,0,1405,,,,0,79990,0,54,0,0,,3,1410,80045,,,
1389065286021,backend_vagrantx_cloud_appcelerator_com,1,0,0,0,174,,79976,9992125,13589290,,0,,0,0,39,0,UP,1,1,0,0,0,2485,0,,1,2,1,,79937,,2,0,,1410,L4OK,,0,0,79937,0,0,0,0,0,,,,101,0,
1389065286021,backend_vagrantx_cloud_appcelerator_com,BACKEND,0,0,0,174,0,79937,9992125,13589290,0,0,,0,0,39,0,UP,1,1,0,,0,2485,0,,1,2,0,,79937,,1,0,,1410,,,,0,79937,0,0,0,0,,,,,101,0,
1389065287031,http-in,FRONTEND,,,1,198,3000,80047,10014540,13671765,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,2,0,1405,,,,0,79991,0,55,0,0,,2,1410,80047,,,
1389065287031,backend_vagrantx_cloud_appcelerator_com,1,0,0,0,174,,79976,9992125,13589290,,0,,0,0,39,0,UP,1,1,0,0,0,2486,0,,1,2,1,,79937,,2,0,,1410,L4OK,,0,0,79937,0,0,0,0,0,,,,101,0,
1389065287031,backend_vagrantx_cloud_appcelerator_com,BACKEND,0,0,0,174,0,79937,9992125,13589290,0,0,,0,0,39,0,UP,1,1,0,,0,2486,0,,1,2,0,,79937,,1,0,,1410,,,,0,79937,0,0,0,0,,,,,101,0,
1389065288074,http-in,FRONTEND,,,1,198,3000,80049,10014825,13672964,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,2,0,1405,,,,0,79992,0,56,0,0,,2,1410,80049,,,
1389065288074,backend_vagrantx_cloud_appcelerator_com,1,0,0,0,174,,79976,9992125,13589290,,0,,0,0,39,0,UP,1,1,0,0,0,2487,0,,1,2,1,,79937,,2,0,,1410,L4OK,,0,0,79937,0,0,0,0,0,,,,101,0,
1389065288074,backend_vagrantx_cloud_appcelerator_com,BACKEND,0,0,0,174,0,79937,9992125,13589290,0,0,,0,0,39,0,UP,1,1,0,,0,2487,0,,1,2,0,,79937,,1,0,,1410,,,,0,79937,0,0,0,0,,,,,101,0,
1389065289025,http-in,FRONTEND,,,1,198,3000,80051,10015110,13674163,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,,,0,2,0,1405,,,,0,79993,0,57,0,0,,2,1410,80051,,,
